1000 200000
963 25 328
598 782 655
112 463 23
468 48 639
664 86 853
532 386 556
739 383 644
770 624 517
214 847 299
684 794 647
191 320 192
795 672 736
16 256 636
932 876 778
961 46 634
675 510 984
740 456 142
505 121 307
37 303 836
836 660 57
954 845 985
820 618 717
940 126 162
701 58 569
372 96 478
779 45 670
333 108 161
393 537 728
140 925 473
355 976 387
904 316 391
455 373 545
667 203 411
424 873 994
335 545 709
393 998 836
116 893 90
670 208 660
304 406 731
226 821 552
987 292 978
753 640 471
208 442 433
598 610 611
848 193 401
335 164 398
500 255 921
330 300 851
957 803 33
729 386 213
292 330 285
333 694 957
522 636 999
91 265 76
959 618 488
897 421 530
130 571 297
371 527 732
246 980 98
616 658 90
284 930 439
483 998 581
605 552 164
96 573 595
948 705 925
541 126 668
857 293 823
935 903 391
695 216 228
610 523 766
994 511 782
633 45 925
609 714 1000
522 264 218
819 447 449
358 635 39
856 994 602
262 739 766
541 247 307
297 529 52
52 522 41
607 567 689
298 845 675
503 275 957
401 740 488
784 970 653
138 219 948
240 810 209
225 714 954
892 723 642
640 335 577
988 826 950
450 257 790
80 227 749
409 61 281
830 854 863
881 106 620
438 40 979
487 475 714
379 298 176
671 838 188
66 915 268
356 189 905
914 371 565
910 518 198
815 160 898
721 421 375
388 532 256
76 644 689
660 627 556
250 996 730
338 695 442
115 5 87
557 925 690
315 369 539
883 948 892
135 165 75
369 785 813
31 479 341
978 984 843
18 792 869
170 416 420
605 675 877
713 865 609
726 503 94
955 614 848
542 259 385
389 681 286
503 562 157
591 689 435
965 530 784
624 913 370
903 936 380
659 875 71
712 685 277
874 676 663
753 742 569
339 256 191
726 966 752
7 136 274
723 759 905
63 248 629
68 821 404
553 948 777
366 534 916
990 871 44
29 290 611
760 187 428
337 546 155
393 817 972
694 886 242
736 819 199
104 851 699
584 184 786
658 463 497
460 254 773
108 264 276
3 902 534
997 662 128
703 888 834
112 164 382
969 842 176
484 603 485
452 354 200
82 331 56
899 761 693
831 850 906
903 998 672
528 968 904
871 766 24
30 604 557
225 580 76
343 458 674
173 157 302
794 773 209
403 225 293
454 200 250
181 576 44
303 219 938
571 400 347
558 374 655
340 119 468
300 522 811
492 42 422
645 951 509
230 840 161
253 898 771
426 743 87
405 488 233
73 717 847
549 163 831
614 716 630
187 641 450
192 532 818
503 701 392
717 507 965
931 205 640
199 627 76
955 642 66
877 902 673
78 917 844
308 778 107
909 334 952
656 749 698
1 146 23
625 210 625
768 894 7
647 737 330
994 726 444
603 10 558
156 891 249
487 852 717
76 86 763
221 912 600
814 255 67
103 458 148
436 830 205
602 242 968
978 614 890
843 165 268
398 858 998
626 22 41
251 764 503
837 611 216
697 300 881
901 91 235
247 97 569
146 411 105
420 42 76
338 356 717
969 505 990
596 216 79
26 593 408
268 712 361
209 659 158
770 324 465
83 33 245
422 295 772
244 981 451
622 475 725
589 726 571
396 332 884
398 132 871
695 315 997
298 519 86
692 127 850
770 470 674
331 179 928
956 12 529
11 743 30
765 69 379
968 969 557
247 205 411
984 760 825
477 742 180
474 412 984
501 130 244
632 198 857
373 79 339
600 709 889
679 732 147
599 821 238
923 713 112
477 74 278
240 26 842
694 380 366
967 998 715
427 429 718
220 51 188
832 508 248
659 964 582
378 743 349
583 702 753
388 931 241
450 311 758
774 670 413
438 533 100
482 837 259
397 201 512
389 607 1
658 593 190
279 320 919
1 429 10
232 127 224
644 345 526
73 330 82
590 820 685
911 452 34
506 696 384
962 644 994
695 272 800
498 122 318
445 252 84
706 921 965
777 172 322
864 23 4
126 57 335
909 414 183
459 165 732
368 635 605
516 467 899
963 848 882
653 218 79
743 251 680
126 494 600
333 842 526
973 84 537
174 578 965
473 198 729
253 378 676
245 114 902
766 278 912
939 621 356
66 769 987
81 605 577
230 129 168
438 652 352
774 470 421
679 708 838
944 156 687
922 802 650
19 17 344
589 490 743
258 200 15
334 917 973
368 320 59
372 650 365
871 244 942
890 592 668
244 181 69
709 97 317
677 185 561
281 317 387
498 974 968
350 31 438
847 94 666
310 263 215
888 828 129
137 96 202
976 103 370
959 810 708
802 748 432
841 305 946
312 785 142
651 217 779
312 660 720
841 893 927
352 872 891
398 974 101
426 681 717
478 548 175
403 881 606
83 876 383
975 427 916
610 295 92
718 527 162
657 758 671
271 814 981
210 226 129
296 301 654
954 124 969
293 622 484
324 648 649
67 446 369
814 586 708
320 316 455
106 337 903
951 889 870
502 449 259
313 903 949
346 613 50
933 661 71
231 209 906
860 744 805
830 311 156
149 783 667
985 580 752
880 754 314
417 262 750
353 375 60
728 37 397
505 638 773
640 876 286
971 881 685
5 730 619
625 811 771
576 157 612
771 122 413
215 328 664
624 609 855
386 152 296
279 605 311
850 461 369
660 126 177
753 685 894
667 635 227
161 888 574
363 39 984
374 242 992
638 83 644
806 774 68
506 903 565
272 574 282
521 508 531
288 135 161
530 232 873
490 228 144
27 222 155
540 965 99
509 482 89
549 862 969
639 320 898
683 292 935
168 57 454
983 860 500
150 728 695
66 821 973
363 181 472
371 741 279
473 808 238
529 412 229
437 917 616
581 572 60
996 378 73
777 630 375
183 263 396
264 873 354
26 138 785
505 991 755
824 774 987
670 662 434
590 583 971
342 617 240
723 238 842
786 55 173
258 188 371
366 29 760
578 928 596
164 703 98
783 103 382
345 236 979
971 845 439
107 137 389
169 921 641
458 405 970
847 477 512
860 385 440
652 653 50
88 728 184
942 332 55
998 598 802
151 632 87
31 476 670
899 447 87
212 679 271
872 128 415
70 191 329
89 482 305
139 746 880
281 858 561
398 818 522
49 554 132
1000 718 785
850 841 735
569 814 810
662 782 970
266 398 561
638 453 739
807 697 857
545 250 374
901 676 422
731 328 216
53 23 517
416 573 157
791 836 427
601 400 53
24 745 915
214 496 375
893 770 75
860 882 419
210 740 707
232 140 825
177 336 575
42 59 942
431 611 885
858 946 963
946 174 442
854 811 745
551 879 726
993 239 437
72 42 803
511 592 964
626 588 986
151 825 126
682 210 186
507 424 571
72 767 581
388 866 436
285 558 669
704 156 38
41 616 292
282 535 966
126 711 910
483 499 32
754 560 18
481 949 907
540 970 500
695 673 775
337 581 840
470 894 858
319 226 750
173 866 312
463 262 807
438 71 782
803 401 865
489 425 451
224 927 221
150 174 871
515 803 565
336 272 187
982 61 719
615 914 918
355 572 3
29 498 713
600 341 473
571 730 102
812 312 22
539 256 627
828 443 94
753 446 577
152 269 636
929 285 13
112 490 939
699 202 917
827 390 414
351 914 160
841 180 637
977 441 890
695 825 685
775 647 19
904 45 874
661 732 1000
274 649 900
674 911 406
503 879 178
584 608 859
273 333 95
839 649 757
456 670 817
54 580 204
882 429 487
967 639 213
359 795 587
792 966 216
920 489 179
109 226 101
487 337 173
280 577 824
449 934 576
461 480 841
525 265 469
193 513 934
423 844 638
696 73 345
14 834 356
965 295 271
633 478 576
119 940 839
541 713 791
968 336 522
488 46 780
25 705 666
53 176 110
940 624 930
813 205 338
209 51 821
244 446 425
686 833 751
325 341 249
576 306 939
698 867 779
307 547 395
950 7 52
306 423 731
879 44 506
306 807 700
870 937 26
294 572 723
570 969 309
415 417 818
490 768 133
783 741 191
518 26 135
281 601 495
115 235 566
244 991 561
888 97 681
165 178 338
606 785 204
673 493 110
688 583 111
383 547 655
632 975 98
263 555 449
783 415 354
771 925 381
115 284 238
869 730 273
559 647 92
955 986 760
648 615 534
143 745 469
631 558 845
740 661 348
240 178 631
707 386 858
302 693 189
66 382 157
951 140 869
723 812 683
417 187 400
369 601 605
810 183 879
980 741 740
952 798 943
333 738 988
839 758 946
629 794 650
217 79 923
946 155 534
361 605 817
161 683 59
127 804 309
473 948 393
859 23 309
407 516 127
532 19 556
777 483 449
228 903 18
315 738 127
629 134 40
613 442 113
274 748 281
711 804 12
332 861 890
811 723 722
665 950 142
576 338 145
110 726 126
331 657 711
670 159 593
959 473 597
576 947 741
396 415 221
51 704 204
722 910 791
752 12 770
150 118 322
911 42 847
741 90 609
834 900 273
361 545 498
20 967 865
892 657 511
198 93 606
555 390 70
426 44 443
401 443 453
702 935 374
634 1 750
191 468 448
923 256 164
864 8 245
44 778 183
204 110 927
281 591 182
49 397 654
749 18 153
506 280 628
864 584 339
856 440 986
778 564 987
358 969 179
391 508 85
52 444 884
86 541 474
260 709 843
313 325 820
694 464 820
457 637 964
592 516 776
250 497 276
146 895 372
800 344 871
117 78 626
138 248 63
302 16 78
352 425 96
835 494 686
994 886 663
373 626 571
789 979 205
513 837 564
15 414 636
119 411 818
620 430 73
252 308 773
308 773 14
118 393 451
925 139 126
567 100 164
159 189 55
802 55 451
461 2 2
272 299 409
10 496 347
392 936 55
112 401 628
394 429 485
759 302 810
958 569 223
135 97 199
540 866 499
43 189 119
346 961 834
631 421 654
919 585 444
365 518 91
439 150 857
589 482 225
910 653 825
298 659 191
397 836 628
241 902 236
594 75 691
889 760 673
441 873 39
701 333 172
43 920 595
105 257 210
182 127 611
166 711 288
182 361 926
100 442 436
744 35 308
832 804 571
776 1000 126
609 754 838
569 343 193
209 211 574
90 4 67
358 720 547
545 831 525
294 263 759
452 580 232
986 430 521
730 775 693
95 487 242
198 983 623
621 581 561
974 990 252
711 641 545
615 705 265
955 986 216
715 373 924
845 852 473
178 301 739
470 905 781
989 147 511
560 506 980
973 525 512
716 709 295
477 427 709
395 762 674
882 961 867
122 762 45
794 239 407
892 929 485
163 361 794
267 905 867
38 649 337
336 865 74
972 331 216
979 225 974
387 326 922
432 448 915
668 5 887
444 553 136
533 775 520
749 160 330
413 755 919
741 428 445
653 926 797
548 668 178
846 424 768
294 193 837
13 833 665
443 216 397
678 993 480
571 435 657
116 913 53
608 729 464
665 816 111
712 889 72
273 481 813
201 479 771
310 780 528
2 157 175
158 771 59
641 183 748
923 584 203
968 932 990
880 476 530
480 251 786
825 689 761
573 476 666
834 817 945
783 901 662
958 580 827
235 843 730
648 727 137
705 70 167
680 757 45
628 825 890
960 752 397
256 282 809
632 232 697
726 698 998
150 258 208
545 181 760
496 180 552
563 859 645
390 290 472
690 29 856
133 864 869
201 296 444
826 847 540
724 33 431
523 955 529
264 255 821
183 232 572
47 440 811
30 723 596
745 479 523
206 833 893
847 719 268
245 309 263
3 198 495
68 588 122
641 761 33
787 915 34
711 315 132
330 460 556
238 650 188
680 698 235
589 918 264
527 912 875
466 928 605
251 636 4
442 681 659
617 830 356
956 556 266
233 75 808
689 334 387
401 194 332
176 509 86
121 715 835
145 97 340
299 79 533
388 350 414
982 478 153
589 11 343
566 496 881
357 602 481
40 420 291
764 914 107
704 150 143
635 646 995
605 528 808
134 144 191
53 178 487
103 274 389
902 546 164
303 63 957
154 211 388
775 849 5
850 645 826
821 398 808
376 308 885
132 154 394
690 839 862
936 402 533
600 985 469
807 884 465
210 137 382
688 962 224
273 947 853
376 481 973
499 386 295
265 956 565
394 647 775
140 309 303
913 887 688
623 990 345
816 795 559
584 805 732
610 725 182
372 838 169
384 387 461
368 757 956
458 939 598
320 244 418
229 494 183
189 652 675
572 750 641
821 188 426
804 393 126
478 818 948
90 284 396
623 515 621
821 889 186
433 654 494
737 876 987
807 128 342
243 242 879
129 315 531
169 152 721
69 161 148
846 565 831
87 710 419
821 771 813
416 551 249
727 813 774
245 736 785
270 169 620
574 888 542
345 143 102
473 43 389
204 327 861
855 854 67
282 943 318
873 595 669
792 260 733
129 84 906
489 184 563
886 997 797
968 962 374
310 969 564
135 860 661
13 278 526
516 687 487
671 359 325
815 37 344
993 449 747
46 551 225
22 79 275
540 925 153
576 473 767
13 804 771
241 322 359
667 489 224
567 687 10
175 794 270
809 985 860
542 608 965
517 345 971
350 371 374
755 509 362
831 787 395
337 336 341
26 213 522
493 13 827
415 839 177
693 671 396
844 958 661
657 930 670
827 601 698
865 947 67
856 439 858
262 688 744
210 550 212
943 793 347
653 840 211
508 742 506
116 819 744
657 815 522
287 438 754
89 146 744
508 143 62
802 200 205
210 73 276
479 320 671
84 50 216
473 52 658
565 923 759
184 159 420
531 549 346
602 970 214
892 375 244
60 232 142
366 349 748
789 729 192
393 826 204
552 137 776
592 303 376
145 738 824
871 388 368
409 518 533
412 564 713
18 582 824
19 879 819
298 950 58
282 886 506
905 553 884
808 879 591
147 763 955
725 200 360
242 193 870
268 838 616
64 946 960
196 809 129
772 438 225
499 494 719
129 918 297
718 64 166
128 655 523
623 96 443
839 574 68
512 679 312
440 391 666
564 705 611
862 991 954
701 545 443
865 681 102
676 986 987
166 802 763
841 174 888
302 735 806
410 447 435
719 998 990
233 318 906
758 994 736
943 32 705
855 314 475
247 545 857
185 862 910
441 580 157
776 78 894
504 78 129
116 758 975
72 250 779
242 655 530
271 265 355
500 125 94
270 56 57
349 167 104
196 662 569
453 44 708
756 596 128
288 870 105
608 224 663
962 972 196
334 389 494
417 250 895
934 489 617
387 866 690
33 802 290
629 286 563
71 508 738
329 688 767
871 496 68
221 199 192
851 861 384
203 166 273
654 460 883
378 533 558
891 909 818
12 960 307
990 378 639
142 919 845
845 368 786
764 75 267
94 758 37
658 31 930
437 451 393
416 648 10
388 88 695
191 1000 804
587 300 820
716 370 366
790 344 394
319 903 264
376 930 691
865 40 952
306 764 109
311 575 651
294 970 297
395 200 362
646 630 502
431 594 242
273 853 684
47 434 497
609 85 710
821 195 51
161 486 141
487 859 121
822 653 615
239 538 769
237 744 452
545 504 473
325 909 866
890 358 339
240 635 755
36 639 539
434 780 261
114 980 520
970 491 592
633 472 722
871 340 211
858 572 682
362 640 988
64 630 56
618 226 712
696 346 687
12 320 77
197 433 560
536 775 731
136 91 801
421 322 92
281 319 586
232 835 444
392 643 670
18 73 869
354 683 388
468 671 354
309 497 506
764 699 309
595 766 461
952 678 384
276 900 180
759 119 658
118 881 229
397 799 769
140 276 290
32 52 580
743 502 666
647 236 752
740 23 950
347 86 664
264 465 146
646 188 96
840 815 678
426 955 146
459 934 615
609 51 126
49 100 735
698 132 952
472 178 608
400 343 200
63 142 959
312 346 482
664 92 673
957 450 492
79 448 867
637 903 996
372 447 691
269 329 164
429 589 621
610 565 702
137 720 332
927 826 267
110 668 357
896 871 541
250 483 397
626 695 392
6 77 628
442 231 481
997 828 808
181 41 873
166 91 64
962 922 862
408 785 406
418 995 11
567 297 20
297 293 6
605 967 25
976 661 445
55 815 904
369 20 409
543 867 861
710 281 483
210 245 786
436 907 853
533 949 423
241 859 648
175 656 211
384 746 344
392 304 962
920 642 441
585 779 341
587 359 931
278 604 61
553 346 347
661 2 567
863 873 920
952 713 242
172 348 215
528 685 485
105 407 923
84 183 499
592 819 672
592 415 780
746 287 350
808 527 973
80 707 538
502 564 557
435 180 932
119 657 837
866 309 127
787 774 974
807 297 787
597 471 902
104 713 690
737 972 856
544 182 62
166 851 191
956 570 200
452 457 4
273 374 519
84 54 49
660 214 645
689 420 185
925 830 54
229 660 816
342 360 971
710 964 653
578 817 346
165 762 880
359 82 382
62 725 84
932 769 758
485 886 878
361 172 584
101 383 98
833 421 972
846 149 516
542 524 6
960 283 218
257 238 840
639 18 711
282 133 767
566 362 219
202 657 186
731 79 247
77 953 138
542 645 771
992 662 688
332 127 526
339 561 1000
79 241 730
950 816 365
637 516 527
537 460 610
363 313 662
145 832 387
148 408 970
65 809 63
248 462 505
643 455 560
379 826 779
157 351 305
837 452 303
217 321 57
296 300 386
487 954 329
882 799 865
266 236 690
492 386 854
574 668 207
70 219 834
474 263 362
640 943 763
238 909 164
806 745 857
877 333 222
175 156 123
553 497 934
904 598 373
645 428 327
760 67 170
36 282 824
784 486 890
178 579 989
9 830 537
745 881 901
283 334 609
199 73 377
937 425 413
655 933 850
769 8 114
282 932 217
263 458 360
232 527 712
725 214 834
108 855 651
824 184 771
589 696 528
455 710 297
111 773 821
257 357 166
207 958 578
235 170 221
161 940 278
969 727 711
710 352 113
906 415 426
111 974 389
847 746 23
288 84 582
397 321 479
98 477 91
725 195 579
121 252 601
324 461 435
971 111 12
513 719 443
428 280 15
904 159 355
239 590 463
723 714 12
934 137 89
441 421 123
931 197 388
381 596 550
626 229 300
928 124 285
447 460 39
764 39 356
998 216 193
997 327 421
347 385 252
377 693 41
132 885 81
929 410 149
109 363 978
978 791 451
729 670 180
188 258 875
700 294 427
226 509 859
495 661 538
348 744 243
403 533 738
10 419 739
814 434 562
949 729 431
998 371 16
518 833 282
454 700 809
173 35 657
380 866 664
320 159 553
827 124 954
295 160 88
556 789 661
402 212 961
809 274 584
389 547 895
493 22 914
910 554 319
238 682 958
180 893 718
530 208 314
406 398 964
350 612 625
351 776 417
957 184 614
109 93 700
434 910 793
362 46 768
913 171 492
442 256 849
878 24 139
100 783 619
18 623 714
580 472 186
123 4 438
528 876 467
469 410 352
896 508 152
364 895 597
816 726 657
800 765 55
205 604 779
600 488 447
89 679 402
600 956 911
194 721 755
507 468 631
788 597 487
804 886 492
927 279 857
228 762 633
426 284 625
359 825 950
32 505 984
600 624 616
815 222 726
338 777 13
888 664 623
926 613 172
524 559 783
843 630 495
789 142 527
299 578 358
584 560 639
304 141 906
572 369 432
893 290 281
605 210 663
466 574 291
361 284 825
399 760 203
391 200 91
498 245 454
816 519 203
710 507 289
676 379 363
618 22 709
395 145 951
82 851 376
352 776 118
970 942 433
601 42 778
521 207 457
572 798 332
654 903 893
403 540 426
618 240 958
436 602 956
358 95 678
46 54 207
442 654 669
251 945 619
286 753 54
461 856 186
564 344 971
155 771 365
515 722 682
868 172 975
895 411 565
238 922 344
800 440 545
480 429 304
231 431 640
820 389 645
82 145 709
317 241 276
520 445 740
914 679 853
631 658 361
592 71 253
559 451 43
962 571 714
193 44 268
457 803 108
730 682 212
996 275 4
323 147 685
566 594 839
177 462 579
595 963 585
612 547 135
680 180 425
128 771 477
79 746 520
340 432 733
275 825 345
986 759 157
93 811 328
266 228 93
416 252 607
524 768 52
860 383 553
497 389 187
101 800 893
37 68 722
486 9 656
305 681 872
723 964 409
839 33 913
403 755 362
828 17 237
797 655 25
45 868 213
759 494 951
747 842 204
513 638 754
954 440 527
560 992 49
982 768 940
300 578 844
156 395 252
623 937 186
612 615 51
163 823 992
873 77 798
991 128 180
291 60 227
475 232 529
995 915 821
839 206 233
254 414 237
654 506 935
979 446 354
393 885 495
25 605 211
185 799 382
171 304 379
786 926 181
341 175 849
917 354 539
371 893 786
462 605 907
128 846 947
40 896 868
406 59 464
490 422 746
654 650 564
606 605 38
348 745 614
584 441 897
682 990 457
115 611 14
114 196 445
180 595 360
578 125 602
421 50 283
422 902 778
404 188 571
124 896 289
184 125 593
119 373 932
782 752 748
805 195 950
709 117 974
692 39 534
616 831 403
867 648 917
856 929 998
21 245 207
585 92 521
936 889 835
882 285 921
132 342 106
769 979 296
951 751 831
707 378 949
169 974 907
571 481 190
521 816 912
329 213 828
193 880 353
115 258 52
217 747 801
428 482 757
639 179 852
711 908 277
818 862 713
502 865 435
90 410 476
194 450 373
159 210 97
841 524 246
855 768 431
568 667 20
254 956 882
89 820 99
331 396 413
85 874 572
902 179 795
643 419 291
268 110 733
845 804 836
99 885 786
26 22 457
573 437 580
344 718 253
830 818 946
364 346 750
275 542 606
694 283 121
46 971 388
887 194 849
971 366 182
65 879 480
854 839 362
111 910 693
32 253 107
172 375 374
112 464 997
295 574 399
338 671 851
393 494 452
99 492 834
649 77 907
458 496 837
371 591 241
253 92 840
709 118 82
513 296 982
498 971 111
844 843 715
933 454 737
20 479 458
918 282 373
694 497 693
52 296 194
515 259 282
184 656 347
151 139 826
689 567 295
944 95 334
201 680 47
753 121 432
890 951 347
79 635 999
506 142 32
490 283 873
540 46 518
377 568 205
204 335 735
674 65 520
799 975 69
741 309 258
389 136 642
566 956 106
284 154 679
922 798 202
185 318 720
944 729 988
22 529 818
457 812 596
611 369 273
3 769 514
812 782 181
90 967 286
231 681 615
865 879 699
768 930 893
85 304 762
270 816 594
729 442 801
148 465 582
41 382 928
590 678 914
721 789 889
440 510 805
688 845 469
916 999 921
555 977 287
469 278 136
856 431 756
41 846 160
846 681 936
31 161 699
807 519 135
908 288 184
136 943 32
783 2 163
637 933 534
594 791 3
78 196 598
954 105 996
277 567 89
33 831 439
119 892 544
974 697 633
951 31 191
152 457 10
734 423 127
825 97 496
869 784 796
539 211 74
582 979 691
55 393 836
203 42 795
861 425 509
403 254 979
705 707 374
61 453 381
101 911 833
180 992 998
424 392 254
970 517 505
276 783 594
660 800 221
874 261 578
941 105 502
739 255 875
942 841 449
568 202 946
744 322 168
668 597 422
464 477 126
756 956 881
320 782 168
874 351 581
274 804 606
294 619 163
252 400 668
281 534 68
752 173 618
725 642 926
960 154 573
500 60 439
581 534 226
225 202 261
982 743 189
744 200 472
495 875 117
146 243 960
357 367 162
441 388 376
716 829 116
542 973 766
883 358 565
579 931 486
639 159 857
884 451 770
887 440 437
744 489 824
415 808 592
254 335 813
463 627 201
803 512 368
865 229 545
129 561 788
365 913 552
805 192 504
394 520 548
414 399 125
444 399 380
899 185 391
742 39 223
708 25 224
360 167 685
945 606 902
225 927 174
708 131 429
418 15 70
469 750 345
86 52 968
422 847 664
232 70 168
932 454 858
837 931 444
706 36 854
418 972 566
649 528 197
294 281 980
708 174 726
768 976 701
644 276 397
298 13 132
376 686 427
661 489 805
753 903 232
353 21 996
4 594 191
576 792 387
430 473 511
679 477 203
952 873 102
944 309 545
441 366 594
583 55 328
638 955 460
939 104 619
69 763 199
606 829 151
915 402 645
215 366 274
724 975 22
289 904 186
658 375 824
701 291 130
808 33 654
740 990 821
987 924 353
174 459 63
701 571 531
912 266 987
50 472 944
557 867 189
170 866 268
36 209 276
983 499 156
925 882 322
405 905 819
721 665 354
809 182 53
48 756 918
887 489 874
54 210 138
17 735 610
735 996 717
476 948 665
293 123 771
617 280 969
494 747 574
711 278 200
132 620 257
999 890 339
901 623 17
131 304 596
330 180 465
706 151 847
938 456 643
618 452 186
965 23 874
659 25 328
568 308 767
840 784 446
888 250 119
907 399 35
655 890 963
615 377 709
987 332 729
175 802 506
880 840 249
287 653 34
350 227 125
934 776 148
213 562 472
838 823 695
669 285 583
522 383 604
896 128 627
331 890 431
866 275 22
25 568 552
121 791 154
731 547 273
882 192 916
962 830 514
668 181 398
293 799 524
42 382 273
995 732 190
726 924 988
936 188 542
708 639 59
610 90 580
285 710 856
118 794 905
148 881 291
797 925 780
728 88 704
995 361 34
974 872 925
14 714 587
628 605 211
495 767 847
225 618 230
692 337 198
942 662 241
317 297 182
667 4 897
773 756 683
305 987 990
42 124 450
705 992 593
847 565 313
583 194 926
317 43 306
852 792 864
113 377 387
347 619 952
428 143 995
636 132 536
3 98 161
335 570 474
824 61 456
926 164 249
250 429 511
992 68 297
534 51 737
161 345 156
808 519 475
22 603 912
931 454 407
75 881 317
110 712 376
445 161 495
403 630 435
349 109 757
706 40 449
296 593 74
565 466 247
591 889 613
989 727 941
172 581 886
617 854 278
842 908 559
86 558 92
305 494 441
360 530 74
710 474 632
349 602 846
481 241 535
163 769 977
676 138 843
654 104 593
64 994 842
374 358 999
71 530 766
357 318 366
411 742 167
938 611 703
261 638 163
722 482 97
909 782 902
745 659 368
236 772 144
10 672 457
370 906 349
93 983 943
675 928 240
502 717 714
981 67 261
63 848 13
571 749 981
652 810 779
734 842 256
357 246 630
930 335 354
697 314 527
605 720 454
420 458 300
798 672 844
575 579 349
137 331 497
285 483 402
602 822 293
667 760 759
445 269 661
829 357 417
739 134 238
485 932 751
253 950 88
242 591 494
274 933 569
464 486 427
436 609 721
520 174 52
219 85 108
718 130 129
693 670 164
168 26 569
418 558 490
135 826 363
241 4 542
724 741 878
566 412 837
658 281 291
393 417 697
575 726 520
387 817 62
810 759 39
484 816 3
5 179 656
411 861 245
961 864 372
780 468 769
175 451 434
804 276 577
402 339 376
453 366 301
589 859 878
8 880 743
953 816 376
966 776 408
563 584 943
974 461 786
74 993 3
234 176 969
841 687 556
633 28 871
180 78 616
528 141 109
419 650 321
259 289 933
561 592 470
940 702 488
992 617 866
596 239 426
748 496 919
88 478 494
243 737 327
125 9 711
689 547 253
826 867 697
132 623 76
142 275 348
657 896 761
594 975 149
674 617 628
390 454 770
41 892 868
353 32 44
420 603 95
692 600 245
497 912 168
447 359 641
972 384 49
789 54 754
163 348 190
210 761 516
278 115 63
293 65 972
198 971 184
82 9 337
523 666 801
547 144 96
174 242 853
530 40 439
804 57 338
606 989 888
521 715 945
599 665 784
150 21 78
778 553 548
388 16 942
909 978 153
510 96 348
98 634 779
396 588 588
403 366 363
738 951 623
644 471 212
137 922 693
543 529 524
710 879 394
567 150 189
500 794 487
589 688 332
947 288 172
409 495 467
899 648 514
989 48 721
315 250 772
279 521 823
444 41 887
760 90 237
406 962 348
509 880 691
263 611 478
750 322 859
361 535 62
43 93 987
984 155 982
463 150 222
727 864 838
887 977 46
268 126 997
555 327 377
478 819 950
145 890 106
800 205 26
763 573 910
912 439 396
544 920 23
127 498 454
939 256 76
224 453 858
835 172 541
242 772 777
588 330 845
79 604 99
154 813 932
866 98 573
205 388 322
397 67 904
325 487 274
814 872 524
385 195 147
80 231 122
524 937 752
452 405 718
627 624 985
815 201 876
322 1 912
908 918 21
263 802 928
653 297 276
575 907 676
191 364 662
895 610 741
993 329 977
769 592 912
545 414 474
605 49 288
